Date,Close,High,Low,Open,Volume
2011-02-09,37929.94140625,38303.635410252464,36972.350520993685,37369.400400246304,31
2011-02-10,37789.80859375,39494.78759705269,37626.317456447,38817.467171083124,34
2011-02-11,36341.7421875,38070.076970196016,36178.251059407135,37883.22996666131,14
2011-02-14,35757.8515625,36014.76623734488,35384.15748999837,35897.986839688114,25
2011-02-15,36551.9453125,36785.504068490416,36224.96305411342,36575.301188099045,16
2011-02-16,35220.6640625,35897.98452524038,34870.32589211704,35897.98452524038,26
2011-02-17,34730.1875,35220.66089441829,34496.62874075319,35220.66089441829,13
2011-02-18,34823.62109375,34870.33285913397,34122.94461299044,34590.062266830144,23
2011-02-22,38513.84375,38513.84375,36131.544136597935,36131.544136597935,47
2011-02-23,39401.36328125,40382.31008493257,37743.09606550089,38233.569467342175,39
2011-02-24,39121.09375,40125.39645522388,37602.961753731346,39915.19356343284,31
2011-02-25,37532.89453125,38537.197247394215,37392.7592685322,38537.197247394215,16
2011-02-28,37042.421875,37486.183549416775,36084.83089336381,37019.06599739912,15
2011-03-01,38186.85546875,38677.32884174312,36224.96197677752,36271.67372658639,14
2011-03-02,37579.60546875,38116.790630826596,37182.55556634555,38046.72300099052,7
2011-03-03,36108.1875,37065.77850097024,36038.11986578266,36785.50796410091,10
2011-03-04,36061.4765625,36785.508799182324,35757.85014066548,35968.05304808938,12
2011-03-07,37579.60546875,37906.58774131836,35360.79719060752,35757.847093011966,19
2011-03-08,35804.5625,37135.84760273973,35500.93607305936,37042.424086757994,18
2011-03-09,35664.42578125,36131.54334223559,35500.93463490504,35687.781659299275,8
2011-03-10,37813.16015625,38140.14239354926,36785.50169616661,37673.02491169317,27
2011-03-11,37579.60546875,38560.552286455095,37299.33494940568,38513.84053323104,20
2011-03-14,37065.7734375,37976.652557892245,36902.28231332703,37836.517308601135,12
2011-03-15,38186.85546875,41269.83095613532,37859.873220087924,40569.154709002294,23
2011-03-16,41082.9921875,42040.58325042638,38397.06603538943,38397.06603538943,30
2011-03-17,40358.9609375,40662.587379738135,39378.013970269094,40008.62273491753,15
2011-03-18,41246.484375,41386.619656002265,39261.23456080125,39261.23456080125,30
2011-03-21,38093.4375,39798.41661557327,38093.4375,39751.70485898222,29
2011-03-22,38023.36328125,38467.12489202626,37275.97530520577,38070.07502975276,11
2011-03-23,36505.23046875,38093.42987494002,36458.518721509114,37602.95652891075,19
2011-03-24,35921.3359375,36762.14744188882,35851.26831213426,36131.5388135972,10
